tweet	label
@user @user @user @user Gaskiyane Allah yakara daukakaku daga naku mai sauraronku harkullum 👌🙏😚	positive
@user Don ma ban fito special appearance ba. 🤣	neutral
ki zo min da nawa dadin	neutral
wato na lura celebrities basu liking ko comment ko re tweet tweet saena yan uwansu celebrities	neutral
@user Baki ku ya sari danyen kashi, ko ta baya ma mu ta Nigeria kasuwancin su kawai sukai da mutane, wannan karon kuwa kan mage ya waye😠	negative
qungiya tasamu karuwa a africa sauran nahiyoyin turai	neutral
@user Ai da alama zai zama bashi ga tsuntsu ba shi ga tarko, kuma yayi mutuwar almuru kenan.😀😀	negative
@user Hmm wai shi Ganduje ko sarautar kano dai yake so A bashi ya fiya talan fada 🤔	negative
munaji muna gani muna km sauraro	neutral
wai najiku shiru ya kamata aga wata fa	neutral
@user BBC yau baku samu news ba ke nan🤣	neutral
@user Allah sarki Sadau..........this time around ba cuwa- cuwa a Kano Cinema, ba taking picx at Shoprite. 1k dinmu ta huta😂😂😂	negative
@user Innalillahi wa'inna ilaihi raji'uun 😭 kuɗi kamar riɗi!?	positive
@user Kullum ce kina kara kau kike ♥️♥️♥️♥️♥️♥️	neutral
@user 👑 irin wannan shiru ake musu Ko kin Bazasu gani ba	neutral
@user A shirye muke mukuma dalibai zamuyi zanga zanga game da wannan rashin imanin da kuke Mana @user da Kuma @user saboda kunqi daedae ta kanku, shekara nawa kullun Abu daya kawai ake!!!🤨	negative
allah yarabaki da duniya lapiya rahama	positive
@user Kuyi subscribing na YouTube channel namu Mai suna ASH MULTIMEDIA Domin sauraron littatafan Hausa novels namu kala kala. Mun gode😍😀👍	positive
la aiii katonoh asirin ta tunda ka nuna hannatu kam	neutral
@user ( Da Aka 'kwato ) ? Ko dai ( Da Aka Kafa ) ( Da Aka Nada ) 🤔🤔🤨	neutral
@user Kunyi protest akan kisan da ake yi ne😭	negative
allah ya farfado muna da harkar kiwon lafiyar kasar mu nigeria	positive
@user Take care nan fah ba Instagram bane da zaka fara yi mana talla da yawa tax xaka fara biya 😅	neutral
wasan gaba a watsa mai kaya kawai	negative
@user Hmm duniar musulmi da labarawa kenan a yau! Daga zama super power lokacin Uthman Empire zuwa the weakest community lokacin Prince Salman! Allah ya kawo mana mafita🤧😭	positive
yanzu zakuji garba shehu yace laifinsu ne da basu kulle kofa ba	neutral
@user @user 🙏 bai kamaci antina ba	negative
allah kasa zuwan su shine sanadiyyar kawo karshen covid a najeriya idan ma sharri suka zo dashi yã allah ka mayar dashi alkhairi	positive
@user @user Diidii dasu naga Ana shigar da Maikano sabuwa house 😂	neutral
@user Aikin banxa ashe kina sane ya allah kayi ikonka akan wannan abar data bayyana tsaraincita tana sane mungaji da abunda kike aikatawa😭😭😭😭 https://t.co/POcmofme5z	negative
allah bashi lfy amon	positive
@user Mutane bazasu daina karya ba 🤔	negative
@user Idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari😎	negative
@user @user Maigidan nata ma ta sosoke shi a Fili, a gaban duniya.. Bare wani mamman daura? Aisha ta manta Buhari ne gatar ta.. Idan babu tsoho, wacece Ita?😁😀	negative
@user Ji wannan tsowon dallah🤔	negative
@user Happy birthday 🎂 💕 shekaru masu Albarkah 💕💞🧡💙💜	positive
@user Dumamen tuwo duniya ne alaji....🙌🏼	neutral
@user @user Shisha what😲.......kice wurin iskanci Kuka bude	negative
dan durun uwar shege ai bazai sauka ba shege azzalumi ubangiji allah yayi maka mafi munim abunda kake wa yan nigeria	negative
@user Kai ne kake da gaban ne da zaka ce mana nan gaba zamu amfanin sa 😎	neutral
abubuwanda zakayiwa mace ta kara sonka taji batasan kowa saikai karanta su a nan	neutral
an zo gurin	neutral
@user Allahumma agafirli zunubana 🙏	positive
@user @user Allah ya jikanshi, Allah yayi mishi rahma, Allah Ya gafarta mishi🙏😢	positive
@user Amma kowa zai iya karba Dollar 💵?	neutral
@user Larabawa ma sun fara scope kenan 😂😂	neutral
@user Ran wa aka faranta mu da muke struggling a cikin rana da buda baki da kunu da qosai ae sai dai hamdallah🥺🥺	negative
@user Impossible kowa ya soki, don ko ni bana son ki. Ehe✋	negative
@user Allah kayi mana magani ka bu shuwagabbani nagari ka Albakarci Nigeria 🇳🇬 https://t.co/LdCHM6GtV0	positive
@user Allah jikansa yamasa rahma 🙏	positive
@user @user @user Allah yasa ganawanda sukayi ya taimaki talakan najeriya🙏	positive
@user Ai Mun Wuce Kalubale Har Munkai Kalubalbalaa 😁😁😁	neutral
@user Toh fa su @user an rikice 🤔🤔🤔🤔🤔	negative
@user Hmmmm mune muka Jawa kanmu talakawa ae mu komai sai buhari koh , indai buhari ne gamu gashinan yan arewa 🤣🤣	negative
haba jagora ba daga kafa	negative
@user Wai dama akwai korona har ynzu ❓	neutral
@user Allah ya zaba mana nagari a cikinsu 🙏	positive
"@user Sunan wani gari wai """"""""""""""""""""""""""""""""yar Zabuwa"""""""""""""""""""""""""""""""" 🤣😂"	neutral
@user Gaskiya shirin labarina season 3 zai bada citta ga dukkan alama, Allah yaqara basira malam Aminu Saira 👏👏👌👌👌	positive
@user @user Wai dama kana da ita? 😂	neutral
@user Wayyo Musulunci dadi🕺🕺🕺	positive
ke dalla bafa fashion style clothe naked akace ba	negative
@user Dan wahala allah ya la.ance ka🙄	negative
@user Saka su a bayan boot alaji🤸	neutral
@user @user A Koma baya acire Na 👉Bello Elrufai	negative
@user Tho abama kowa bindigan mana 😕	neutral
@user **da ace Nigeria ne kadai keda corona virus da duk manyan kasan nan sunyi waje da iyalansu** *Amma yanzu ba gurin zuwa munanan daku*😎😎😎 *#ana mugun tare*🤝🏻	negative
gyada me sihiri a bare aga biyu a murje aga hudu a bushe a ci dadi	positive
hahaha wallahi federal government kunya sukeji dama shiyasa basu bude ba yanxu kuma sunga babu sarki sai allah	negative
duk yangan mace duk isan mace duk girman mace a kasan na miji daya zata kasan ce kuma	neutral
toh amen koma tayi azimin oho	neutral
@user Ya rabb kasa tazama sanadiya gani chiwa yanada mahalichi yayi nadama ya zamma daya daga chikinmu musulmi ya haiyu ya kaiyum🤲	positive
@user 🤣🤣😂 shima yagama masu amfani Kennan	neutral
@user 😂😂😂abun kunya baya karewa	negative
ba mamaki faruwar hakan tsakanin su domin tun nan nigeria shugaba buhari yasan bakowane zai bashi kwarin guiwar cigaba da mulkiba musamman talakkawa duba da irin halinda mu talakkawa muke ciki fargabarmu a nan itace ya sake darewa kaddara ta auku ya mutu yabar da cizon yats	negative
hhh corona ta shrya bayin allah fah	positive
@user 🎓Congratulations Rahama!! Great job.	positive
@user kai amma likitocin yan India sun iya aiki har an gama ya dawo gida Nigeria🤣	positive
@user Kaji BBC fa, wayene dattijo kuma... Dan iska dai😠	negative
allah yabamu alkhairinda yakecikinta	positive
@user Munkadu mutuka da wannan labari 😢	neutral
@user Cin zarafi continues 🚶🚶	negative
@user good👍 haka mukesonji. Allah yasa agabayansu	positive
@user Wasan ya fara dadi 🤣🤣🤣🤣🤣🤣	positive
@user Masha Allah Allahu akbar sunnah Kenan magani bidi'ah anan na karu da abubuwa masu yawa da ace malan Jafar malamin bidi'ah ne da tawannan hanyar maana Yaron sa ma abin bautane ga yan bidi’ah dalilinsu ai dane ga malan Allah kaji kan malan da rahama ya Allah 😭😭	positive
@user 😂yayi kyau aii @user	positive
@user Barkanmu da Sallah. Ayi Sallah Lafiya Sannan Aci Nama a Hankali🍗🍖🍗	positive
@user 🤣🤣🤣 Alhamdulillah ranar da muka dade muna ta jira gashi tazo...	positive
@user Allah yasa dae ba cutarmu za ayi ba🤔	positive
@user Allah ya tsinewa wanda yake maqaryaci 😏😏	negative
@user Wai ko kunya baku ji, kun sace masu kaya sun sace kayan su shike nan 1-1 kenan 😂😂, amma ban da abun fintiri meye taliya 😂😂	neutral
@user Tofa, to kosuma Next level din taje musune.🤔	neutral
@user Matakin aiki, keanan wato kwance suke, ashe, bamusani ba!. Allah yabada ikon aiki Tukuru.🙏🏻	positive
dankariallah ka iya mana da iwar ka	positive
@user Wallahi hakane Uban Mara,u😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😱	positive
@user Tofa😳 Allah ya kiyaye	positive
abin dariya allah yayi mana maganinsu	positive
@user 😂😂😂😂😂 toh mudai bamu je daurin auren ba	neutral
kizo kema na taimaka miki nasan dai ba gal bace	positive
@user Amin ya rabbi Amma daii na so ibro yayi magana a videon nan 😂😂😂	positive
@user Yayi Dattijan Arziki🙏🙏	positive
@user Amman dai bazai iya shafa mana ba?🤣😂	neutral
@user Kice dai kawai kinyi hijirah daga Team dinki da aka kora zuwa wanda suka fito final 😅😅	neutral
@user Lmao 🤣🤣🤣🤣 hadda kawo labarin barcelona na 8-2 😂😂😂	neutral
@user Dan iskanci babu abinda za amusu ne kawai zuba musu ido za ayi 🙄🙄	negative
@user Dun Allah ku hwara da sakoto... wllh muna so 😹	positive
@user @user Ikon Allah nidai da nasoki sosai daga baya al'amuranki duk sun janza kuma haryanzu na kasa daina sanki buh plz &amp; plz dear kada ki kiki jin shawara 😭 I love you	positive
@user @user Kada ka manta nan kazo kanayi mana kuka😭 sbd talaka yana shan litar petur akan #62 ashe kai kuma zaka ninka akan abinda talaka ke sha Kai da kk cewa muyi hakuri amma sai wata sabuwa ta fito batun tan 30,000 na masara domin hada abincin kaji Wato kaji kk mulka kenan..?? AMSA.	negative
@user Nifa wannan kamar ba buhari ba wlh😬 taka a deep look at his eyes 🤔	neutral
malama dilla ki dinga maganar da hausawa xa su dinga ganewa hei ki dinga wani yare da kinsan babu mai gane shi idan ba ke bah hei mu shaqe ki in kina mana wannan abun ehe	negative
@user A baiwa kowa Ak47🤣😂	neutral
"@user """"""""""""""""""""""""""""""""Kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro"""""""""""""""""""""""""""""""" U can't undo what has happened girl Cuz u created the chance. Emmm sorry bby😟"	neutral
@user Ita 'Ghana Must Go' din dai da take yagewa 🤔	neutral
@user Kutumelesi!!👀👀tAb wannan shine biyu babu..	negative
@user Tab lallai @user wnn shine kwani'ki 👉🕺	neutral
@user A gaskiya bantaba ganin hausa series dayai kyan labarina ba Every week da sabon abunda ze sakawa masu kallo shaukin ganin episode nagaba Allah yakara basira babban director 🙏	positive
@user Toh fa Yayi daidai Allah ya taimaka namu kalo🙄🙄	positive
gamari ga tsinka jaka azo har nigeria a daura wannan auren sannan a sake ayi wuff da ango zuwa american	negative
@user Babu gwamnatin da na ta6a kwana da yunwa (as a student) sai ta Buhari 💔😭🙄	neutral
@user Wooo Zaidu! Allah ya ida nufi😊😀🤗 #Naka-nakane🙌	positive
@user @user Lol!! Toh abun mamaki 😂😂😂	neutral
@user Yana Nufin Dan Iskan Yaya Kenan 😍😍😍	negative
@user Bata kawo farin Kai😺	neutral
@user , mudaina shiga tsakanin bawa da ubangijin sa. Jiya nayi mafarkin rahama sadau ta shiga aljanna 👏🏻✌️	positive
@user @user @user @user Eah Lallai ba karya zamisha kallo Yaya Dan-kwambo ya karo wulakanchi yanzu ga kudi Kuma ga soyayya Hmmm toh fah 😂😂😂😂	neutral
@user ALLAH ya ubangiji kataimaki bayinka ya ALLAH kawo mana karshen wannan fituna ya ALLAH muntuba🙏🙏🙏	positive
@user Hahah mukan customers ne, su dana suji abunda mukeji😂	neutral
@user Bamu san Anayi ba 🙄🙄	neutral
@user Ko ubanki ma dayazu kano kyauta muka ganshi ballan tana ke yaushe aka haifiki dazamu ji tarihin ki munsan ta rihin shanun ubankima ballan tana ke mahau kciya idan uban ki yarage kudin buhun shinkafa sannan zamu iya bin 10k mugan ki 😔😔	negative
ai ko dubai tafi duk qasashen da kika qirgosu nan dubai qarshene mallama	positive
@user Ya kamata a hanasu cin tana da tsutsa da bera😅	negative
@user To Allah yasa dai bakiyi contact da mai abun ba, 😂😂	positive
@user Ya mai gwatsalaa😅	neutral
@user @user Ai kuwa ya fada musu 😂😂	neutral
@user Indai musulunci ne xaka yi ka gama yaro, baxa muce maka komai dan anyi dubun ka yau ina suke 🚶🚶	neutral
@user Waiku mene matsalar kune, duk abin da za'a zagi @user shine topic naku, yaran #YAHUDAWA kawai 😠😠😠😠	negative
@user Rokon ruwa Kuma🤦	neutral
@user Ina ga Akon da classiq ne suka kamu da #COVID-19😅😅	neutral
@user Aslm alaikum A gsky wannan aiki ya sabawa koyarwa ta addinin musulunci domin hakan ba dacewa bane duk da chews mtne suna ganin hakan a matsayin wayewa. Allah ya shiryemu. 😭😭	positive
@user Maza na siya wa Mata tsire ne da daddare domin kyarkyara... Kuma kyarkyara ba'a yinta da rana😁	neutral
@user Wai “Bala Kaura” Allah ya bashi lfy ku kuma Allah ya shirye ku 😂	positive
@user 😂😂. Bushe mu akayi	neutral
@user @user Qarya kike munafuka 😠😠😠	negative
zan nemi admission	neutral
@user 🤣🤣🤣 wanga mutum da son mulkin tsiya shi kuma mulki yayi tutsu	negative
an gama in dai a kannywood ne allah ya karo kauna ke da hrithik	positive
kash myutun biyu kawai ai kamata yayi aceh mutane dari harda president din su	neutral
@user Waiyasabama. Al’ada 🤣🤣 yo ina wata al’ada da akeyi a finafinan kannywood? Wannan si shaci fadine kawai. Indai wannan dalilinne to kowane fillm sai andainashi a kano. Akwaidai lauje cikin nadi.	negative
duk musanda hakan	neutral
@user Da sauran mu acikin Kashi Shida(6) a ce daya su ka warke Muna Ruwa😱😱	negative
@user Daganam tashar jirin sama da ke tashi https://t.co/w47kcGESfT na SHEHU AIRLINE🚀🚀🛩 DAKe babban birnin KATANGU munji dadin da fara wannan gasa ta gudun cire takakalminkaa mu dama tuni muka fara namu da tsuntsayee a sarararin samaniyaa Kumaa Insha ALLAH muma za'a fafata damu	positive
da shi ake barnan cizo	negative
@user My beautiful actress,ina yi miki fatan alkhairee🌹🌹	positive
@user Toh ai gamu a cikin Twitter din Ko dai a Facebook ne nake 🤔🤔🤔	neutral
da gudu nabar manchester united ciwon zucia	negative
@user Hmmm allah ya kyauta dai kawai 😏😏	positive
@user @user Please Aunty Alqur an nayi Broke Cikin Zakkarki Ta Azumi A taemaka mun Da wani abu pls🙏🙏🙏🙏 2216949609 Usman Mukhtar Zenith Bank	neutral
@user YDG addu'a kawai zamu Kara yiwa iyayen mu mata da fatan ALLAH ya rabamu da wannan cutar Ameen😒😒😒😒😍	positive
@user Munade mishi fatan alkayri👏	positive
@user @user @user Ni nafisa Abdullahi jaruma daga masaantar kanywood nafison film dina mesuna Dan marayan zaki saura naji wani yace baita banee jarumar kanywood😎😎	positive
@user Muna rukon allah Ya zaba muna shugaba nagari kasata janhuriyar niger 🤲🤲🤲	positive
@user Ameen summa ameen my jaruma🤲🤲	positive
@user 😂😂😂 ohhh wai har akwai dalili kenan	neutral
ayi sauri mudai please	neutral
@user Allah abin godia irin haka ya kamata a rikayi...🙏🙏🙏	positive
mtswwwwwww haka aka yi qaryan ebola wannan ma qaryan banxa ce dama ta shigo din da gaske se a mutu har liman‍️‍️	negative
ashe dai su baba baa shirya mutuwa yanzu ba	negative
@user Wananna maganar banza ce😡	negative
@user kowa yakamata ya kalli wannan videon domin zai taimaka sosai ☺️ dan link din : https://t.co/7WJ4MalGVS	neutral
insha allah daga wannan cutar tasa sai lahira dan uwarsaduk wanda ya taba annabi ko ubansa waye bazai zauna lpy	negative
@user Garin su Kare, yace ni ma kai ni aka yi!😃	neutral
zakaga yadda buhari zaiyi dayan najeriya	neutral
@user Aa gara a barta presdor yayi maganinta kawai 😅	neutral
yah masoyiya hadixa gabon wuup wuup din sarkin wakar sarkin lagos	positive
@user @user Muma muna Allah wadai da jawa addinmunmu zagi😥😥😥	negative
@user Makaryatan banza wane dadi talakawa keji inbanda wahala😏	negative
@user Sabon yabin dai 😹😹	neutral
@user Ba dqmuwar mu bane hakan kawai dqmuwar mu yan uwanmu su kubuta fatan Allah ya dawo dasu gida lafiya 🙏 alfarmar annabi Muhammad S A W 🙏💞🌙	positive
@user Idan gaskiyane abinda kake fada Buhari zaka iyya fidda mutum miliyan 100 daga talauci meya hanaka tuntuni ba kayi ba ko yanzun ma Sara ki da Dogara ne suka hanaka 🤔ko Dan mutanen arewa ba yarbawa bane ALLAH YA ISAR MANA mtssss	negative
@user “Gidan Badamasi 3” Allah yabika 😆 🤣 😂 #Episode3 https://t.co/glUKDYaXRr	positive
@user Duk Dan👨‍👦 dayace mamansa bazata yi barciba🛏️ toh shima bazai yi barcin ba🛏️. Don mind them👑	negative
dalilin da yasa aka daina jin duriyata a masanaantar kannywood adamu nagudu pls share with others	neutral
kai a yan kwanakin nan fa hannun mai girma shugaban kasa muhammadu buhari a bude yake kyauta kawai yakeyi nima allah ya tsaga da rabona saura kuma wani yacemun nai bara	positive
allah yasa yamutu hege	negative
@user @user Wai Ina. Gwamna. Ya shiga wajen mana. Ya maye gurbin Mahmoud. Koya Samu kudin Takara. Kuma 😍	neutral
@user Gaskia baxa ayi sak ba wake da shinkafa za ayii na zabe nigeria 🇳🇬	negative
@user Dan ubanku cikin azumi domin shagaltar da al'umma ko,to karya kuke baku isa ba 😃	negative
@user Kace dazasu Kama Mai rubuta labarin nan kashe Shi zasuyi Dan inaganin yana yi sunfi 1000🤔	negative
my screen goddess in sha allah ranar friday zan zo naci masa	positive
@user @user Ai Kawai Na Haqura, Kudai Daya Daya Kaida Fahad...Sbd Ni Duk 2 Nakeso. 😂😂😂	neutral
@user Tafiya....... Maganin Gari Mai Nisa 🏃‍♂🏃‍♂	neutral
aikin gwamnati dole bazaiyuba ya rasa aikiba amma gamunan jimuke kamar mu sama namu takardu wuta	negative
@user Allah kaba Musulmi kariya a duk inda suke😭	positive
@user No kayan aure No kayan daki 🤕🤕,idan aka hana kayan aure kmr an hana kayan dakine🙄🙄	neutral
@user Innalillahi wa inna ilaihi raji’un. Allah ubangiji ya gafarta masu, ya kyautata tamu😭	positive
yallaboy mei za a kawo a ban corn	neutral
ginin majalissar dokoki ko ginin yan majalissar dokoki	neutral
wannan itace taku kyautar	neutral
@user Yana dai kan cikawa, sai dai kawai mu tayashi da Addu'a Allah ya taimake shi🙏	positive
@user 😂😂😂 kanki dawo daga Egypt nasamu Kudi, zan ajiye miki.	neutral
ana hege a kasar man	negative
kunga daman tace zata raba abinci ta sama shikenan faduwa ya zo dai dai da zama	neutral
@user Wai wai wai, mu paka motocin mu zaku che😁😁😁	neutral
@user Hmmm watakil dai ara yai 🇳🇬	neutral
buhari kuma ya doke atiku a nigeria	neutral
@user Shekara ta 2020, tafi tsohuwar budurwa ta sosai.😷😷👩‍🦯👩‍🦯👩‍🦯🤸🤸	neutral
@user Allah ya kiyaye faruwar hakan nan gaba. Shugabanni kuyi wani Abu ko wutar data mamaye talaka ta shafe Ku😭	positive
bbc yahaka me kuka sha ne yau mune zamy baku answer kuma	negative
@user Muna gaishe su😏	positive
@user Saboda an daure Aljananu a Ramadan kuma messi na daya daga cikin su 😂😂😂	negative
@user Me zamuyi da wani link din mati a zazzau. Na zata ma sabon video clip ne ya fito🤣🤣🤣	negative
@user Subhanallah Akwai allah ae😥 Xai kula dasu	positive
@user Toh in Banda ke @user Hrithik da ya Saba Hira da su Priyanka da Nandini, taya zai kula ki😅😒	neutral
@user Wata sabuwa inji yan caca...!😂😂	negative
@user Allah ya watsa jamus din da duk wani dan iskan dake goya masu baya😡	negative
@user Allah dai ya kara tsinewa israilawa makiya Allah Allah kwashe musu albarka tsinannu 😭	negative
@user Wannan tsohon nikam wai meh neh damuwar sa yin karya neh! Fisabillahi 🤔🤨😐	negative
@user I really enjoy watching Mati A Zazzau Amma kun Kai Gaisuwa Wajan Sarkin Zazzau kuwa😕 https://t.co/PkoNubajAP	positive
@user Ya Allah kakawo mana mafita Akan wannan cutar kayaye muna itah dan Darajan Alkur’ani mai girman Ameen 🙏🙏🙏	positive
@user Indai ALLAH yayi ka dan Nigeria za kaga abun mamaki!!! 🤔🤔🤔	neutral
@user Hakan da kyau🙅‍♂️	positive
wlh baxan kashe yaya na ba yauwa	negative
wakar na tsaya ga annabi muhammadu saw allah ya jiqansa	positive
@user An zo wajen, in ji mai kukan wanka 😹😹	neutral
toh basai ya fada ba muna jiransa	neutral
@user 😂😂😂😂Indai kana rikeda gwaninka ka huta	positive
alhamdullilah albarkan dake ciki allah ya hada mu dashi allah yayi mana jagora yayi riko da hannayenmu wajen aikata alheri allah ya karbi ibadunmu ya yafe mana zunubanmu ya bamu hakuri da juriya wajen yin ibada ameen	positive
ba wanin sauki wallahi haryanzu zaftaran mu ake	negative
@user Ya Allah governor Nasiru El-rufa'i ya kuntata mana Allah kana gani ya rabbi ka tsananta masa duniya da lahira🙏🙏🙏	negative
@user @user @user Alo soyayya Alo Alo soyayya 😎😂	neutral
@user Sa’ah ce kowa ke nema kanka ☹️	neutral
@user @user @user Malam aminu Saira mu Munyi predicting abinda ze faru nan gaba aiii,dama kowa yasan Mahmoud Dan Shege neh Toh cewa Zakuyi baban Laila shine babanshi Kaga Mahmoud zeiyi 2-0 babu Sumayya babu Laila 😂 😂 😂 my prediction is soo accurate. isn't it?	neutral
allah ya bamu alkhairin sa	positive
me yiyuwa amma ku tsaya kupahimchi maganarta	neutral
"@user 🎶kin ci amanar shi,CORONA""""""""""""""""""""""""""""""""🎶"	negative
@user Yakamata auran na gida domin in baai dagaske ba haka zaai ta mai-maita zance daya har duniyar ma tatashi #Nigeriacenterofcorruption a idon duniya😍😘	positive
@user X diz Rahama sadou🤔	neutral
A kafa suka komo gida, kanawa suka ci ganimar dawakai da kayan yaki a bulus. Shi yasa bazazzage yana ganin ba kano zaka ji suna cewa “Manyan mu” cikin girmamawa 😂😂😂😂🚶🏿‍♂️🚶🏿‍♂️🚶🏿‍♂️ #RanarHausa #RanarHausa2019 #KanoDaZazzau #AbokanWasa	neutral
tuwon sallah kam akwai yawa ga kuma dadi	positive
@user Alhamdulillah, Allah ya Kara daura ka a kan makiya sarkin mu👑🙏	positive
@user Ya wage baki yunwa ma ta ishe shi 😂🤔	negative
is mati still in zazzau	neutral
@user Bakida mai sonki ne😵	neutral
ameen thumm ameen darajjar manzon rahama	positive
@user Yaushe za'ayi na Nigeria??? 🤔	neutral
@user Munyarda d hakan. Amma dan Allah a daina yimana maganar LABARINA😠😠	neutral
sallha ta wuce ta bar wawa da bashi ‍️	negative
@user kudai bbc anyi hegun yen iska😂😂	negative
@user Baya ga jaje suna bukatar tallafi malam buhari, sbd bamu so a kara samun yawan bandit ko kidnappers ko kuma armrobbers, sbd haka ku aiko da naku tallafin🙏	negative
@user Wai yaushe zamu fara son juna da kuma kishin kanmu ne arewa....? Wakoki nawa kuke saurara wanda basu da ma’ana wanda acikinsu har rawa da juyi kukeyi. Mutanen kudu basa kyamacin dan uwansu komin haukar da zai furta a wakansa 😢😢🙏🙏🙏	neutral
ni na dau ai danfarauta tane ahe ba kaura bane hehi ne	neutral
durun uwa bakanta	negative
@user Allah sa haka shine mafi alheri ga talaka Wan Nigeria 🇳🇬 Allah Bawa Buhari ikon yin mulki cikin adalci da koshin lafiya	positive
toh mudai bayara bane tayaya ferfesu ke maganin coronavirus karyane‍️‍️‍️‍‍‍‍‍‍ kuduba dai	negative
@user So nan baayin Covid19 kenan? Cz banga kowa da face mask ba😷	neutral
@user Kitty😂😂😂 ana iya shege	negative
@user Mudai afada mana hakane?🙄🤣	neutral
barka dai sarauniya	positive
wannan ai karyace	negative
bbc hausa sam babu kishi babu kwarewa a aikin ku wallahi mi yasa duk wani rahoti da zai iya haifar da cikas ko matsala gehen addinin musulunci kunfi raayin kawo shi allah ya waddan naka ya lalace amin	negative
@user hmmmm ya nabada gaskiya ne Kawai🤔🤔	neutral
@user Kan kuka gani, gangan jikin na baya...🤣🤣🤣	neutral
@user Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣	negative
@user Nifa haryan banji suntarkato Dangote da kayansaba Koshima bayeraben ne.😠	neutral
@user Allah ta'ala ya Kai Haske a kabarin sa🙏🙏	positive
@user A, a zamanshima ajam Iyar shine Bala in agaremu Chanda I🤒🤒	negative
@user Tab gaskiya wahalar tayi yawa, ga Muni gajin zafi😂😂😂	negative
